"","1","60","Abangares"
"1",2,12,"Acosta"
"2",3,70,"Aguirre"
"3",4,21,"Alajuela"
"4",5,10,"Alajuelita"
"5",6,41,"Alvarado"
"6",7,6,"Aserri"
"7",8,25,"Atenas"
"8",9,57,"Bagaces"
"9",10,45,"Barva"
"10",11,50,"Belen"
"11",12,67,"Buenos Aires   "
"12",13,59,"Cañas"
"13",14,58,"Carrillo"
"14",15,36,"Cartago Central"
"15",16,74,"Corredores"
"16",17,72,"Coto Brus"
"17",18,18,"Curridabat"
"18",19,3,"Desamparados"
"19",20,17,"Dota"
"20",21,43,"El Guarco"
"21",22,2,"Escazu          "
"22",23,66,"Esparza       "
"23",24,51,"Flores"
"24",25,75,"Garabito"
"25",26,8,"Goicoechea "
"26",27,71,"Golfito"
"27",28,23,"Grecia"
"28",29,81,"Guacimo"
"29",30,35,"Guatuso"
"30",31,44,"Heredia Central"
"31",32,64,"Hojancha"
"32",33,39,"Jimenez"
"33",34,63,"La Cruz"
"34",35,38,"La Union"
"35",36,20,"Leon Cortes"
"36",37,54,"Liberia"
"37",38,76,"Limon Central"
"38",39,34,"Los Chiles"
"39",40,80,"Matina"
"40",41,15,"Montes de Oca"
"41",42,68,"Montes De Oro   "
"42",43,7,"Mora       "
"43",44,14,"Moravia"
"44",45,62,"Nandayure"
"45",46,26,"Naranjo"
"46",47,55,"Nicoya"
"47",48,42,"Oreamuno"
"48",49,29,"Orotina"
"49",50,69,"Osa           "
"50",51,27,"Palmares"
"51",52,37,"Paraiso"
"52",53,73,"Parrita"
"53",54,19,"Perez Zeledon"
"54",55,28,"Poás"
"55",56,77,"Pococí"
"56",57,65,"Puntarenas Central"
"57",58,4,"Puriscal             "
"58",59,30,"San Carlos"
"59",60,49,"San Isidro"
"60",61,1,"San Jose Central      "
"61",62,24,"San Mateo"
"62",63,52,"San Pablo"
"63",64,48,"San Rafael"
"64",65,22,"San Ramon"
"65",66,9,"Santa Ana"
"66",67,47,"Santa Barbara"
"67",68,56,"Santa Cruz"
"68",69,46,"Santo Domingo"
"69",70,53,"Sarapiqui"
"70",71,78,"Siquirres"
"71",72,79,"Talamanca"
"72",73,5,"Tarrazú"
"73",74,13,"Tibas"
"74",75,61,"Tilaran"
"75",76,40,"Turrialba"
"76",77,16,"Turrubares"
"77",78,33,"Upala"
"78",79,32,"Valverde Vega"
"79",80,11,"Coronado"
"80",81,31,"Zarcero"
