"","Codigo","CCanton","Canton","Cod_Region","Población","Densidad.(Hab/km2)","Numero.viviendas","Menores.(<=19)","Adultos.(20-65)","Mayores.(>65)"
"1",1,507,"Abangares",4,20016,29.6199834260684,5719,6212,11969,1835
"2",2,112,"Acosta",3,21976,64.2122487143525,6279,5744,14263,1969
"3",3,606,"Aguirre",7,33069,60.8143148757747,9448,9849,20861,2359
"4",4,201,"Alajuela",2,314209,808.920526220941,89774,87739,198273,28197
"5",5,110,"Alajuelita",3,94548,4466.13131790269,27014,29564,58319,6665
"6",6,306,"Alvarado",3,15433,190.389834690353,4409,4516,9620,1297
"7",7,106,"Aserrí",3,63529,380.185517654099,18151,18111,40426,4992
"8",8,205,"Atenas",2,29340,230.678512461672,8383,7602,18282,3456
"9",9,504,"Bagaces",4,24130,18.9479304902276,6894,8101,14124,1905
"10",10,402,"Barva",2,47002,873.64312267658,13429,13319,29524,4159
"11",11,407,"Belén",2,26459,2177.69547325103,7560,6635,17207,2617
"12",12,603,"Buenos Aires",1,53436,22.4123612753857,15267,20086,30046,3304
"13",13,506,"Cañas",4,32685,47.9111697449428,9339,10920,19132,2633
"14",14,505,"Carrillo",4,45939,79.5425425078783,13125,14968,27485,3486
"15",15,301,"Cartago",3,164121,570.320047259965,46892,43498,104974,15649
"16",16,610,"Corredores",1,52419,84.5,14977,17499,31025,3895
"17",17,608,"Coto Brus",1,44308,47.4435438104314,12659,17313,23527,3468
"18",18,118,"Curridabat",3,79577,4989.15360501567,22736,21562,50350,7665
"19",19,103,"Desamparados",3,245208,2073.46524606799,70059,68508,155129,21571
"20",20,117,"Dota",3,7948,19.8590775073709,2271,2427,4855,666
"21",21,308,"El Guarco",3,46304,276.128570576659,13230,13520,29302,3482
"22",22,102,"Escazú",3,70054,2031.13946071325,20015,18121,44589,7344
"23",23,602,"Esparza",7,38183,176.1,10909,6052,10920,1704
"24",24,408,"Flores",2,24886,3575.57471264368,7110,7232,15413,2241
"25",25,611,"Garabito",7,26028,82.2863646422813,7437,9724,15028,1276
"26",26,108,"Goicoechea",3,138525,4397.61904761905,39579,35249,88670,14606
"27",27,607,"Golfito",1,45573,25.9829186526489,13021,15651,26148,3774
"28",28,203,"Grecia",0,93845,237.150005054079,26813,26410,58921,8514
"29",29,706,"Guácimo",5,55128,95.6,15751,20003,31637,3488
"30",30,215,"Guatuso",6,19236,25.3665998523051,5496,6466,11314,1456
"31",31,401,"Heredia",2,143208,506.751592356688,40917,37231,92148,13829
"32",32,511,"Hojancha",4,7998,30.5944457195318,2285,2099,5019,880
"33",33,304,"Jimenez",3,16321,56.9807631882135,4663,4510,10358,1453
"34",34,510,"La Cruz",4,27090,19.5751138088012,7740,11465,14155,1470
"35",35,303,"La Unión",3,112508,2509.65871068481,32145,31043,72093,9372
"36",36,120,"Leon Cortés",3,13769,113.98178807947,3934,4723,7941,1105
"37",37,501,"Liberia",4,76969,53.5820448738923,21991,23865,47692,5412
"38",38,701,"Limón",5,99836,56.5389995412818,28525,33931,58090,7815
"39",39,214,"Los chiles",6,33689,24.7921051469614,9625,13485,18303,1901
"40",40,705,"Matina",5,46379,60,13251,18319,25829,2231
"41",41,115,"Montes de Oca",3,62533,4124.86807387863,17867,13540,41138,7855
"42",42,604,"Montes de Oro",7,14323,58.5185487824808,4092,3814,9028,1481
"43",43,107,"Mora",3,30318,187.101950135769,8662,7630,19839,2849
"44",44,114,"Moravia",0,62669,2189.69252271139,17905,15708,39991,6970
"45",45,509,"Nandayure",4,11787,20.8,3368,3406,7106,1275
"46",46,206,"Naranjo",2,48803,385.428842205023,13944,13630,30775,4398
"47",47,502,"Nicoya",4,56591,42.4322176234179,16169,15338,34639,6614
"48",48,307,"Oreamuno",3,49972,247.007068360437,14278,14243,31669,4060
"49",49,209,"Orotina",7,23786,167.601465614431,6796,6991,14602,2193
"50",50,605,"Osa",1,31139,16.1321908156499,8897,9895,18264,2980
"51",51,207,"Palmares",2,40928,1075.35470310037,11694,10970,25658,4300
"52",52,302,"Paraiso",3,62941,152.80279672744,17983,18493,39387,5061
"53",53,609,"Parrita",7,20199,42.2,5771,5923,12758,1518
"54",54,119,"Perez Zeledón",1,143117,75.1069267545172,40891,39706,90628,12783
"55",55,208,"Poás",2,34006,460.536294691224,9716,10090,21137,2779
"56",56,702,"Pococí",5,150664,62.6855114853817,43047,49153,90622,10889
"57",57,601,"Puntarenas",0,140102,76.0460938051272,40029,41378,85818,12906
"58",58,104,"Puriscal",3,37983,68.6034750568941,10852,9369,24657,3957
"59",59,210,"San Carlos",6,200151,59.7826151888601,57186,65604,121238,13309
"60",60,406,"san isidro",2,23230,861.646884272997,6637,6252,14793,2185
"61",61,101,"San José",0,347398,7785.70147915733,99257,80317,226592,40489
"62",62,204,"San Mateo",7,7141,56.7196187450357,2040,1810,4445,886
"63",63,409,"San Pablo",2,31200,4143.42629482072,8914,7963,20338,2899
"64",64,405,"San Rafael",2,55269,1142.15747055177,15791,15489,34773,5007
"65",65,202,"San Ramón",2,93872,92.1542448755203,26821,25707,59055,9110
"66",66,109,"Santa Ana",3,60453,984.255942689678,17272,17563,37854,5036
"67",67,404,"Santa Barbara",2,42778,803.946626573952,12222,12422,26691,3665
"68",68,503,"Santa Cruz",4,68939,52.5341583667995,19697,21992,40671,6276
"69",69,403,"Santo Domingo",2,49045,1974.43639291465,14013,12464,30912,5669
"70",70,410,"Sarapiquí",2,83015,38.7822698945126,23719,32216,46433,4366
"71",71,703,"Siquirris",5,64923,75.4751857147839,18549,21755,38710,4458
"72",72,704,"Talamanca",5,43153,15.4,12329,17192,23762,2199
"73",73,105,"Tarrazú",3,18535,62.3025210084034,5296,5724,11395,1416
"74",74,113,"Tibás",2,84873,10413.8650306748,24249,21328,53765,9780
"75",75,508,"Tilarán",4,21749,34.0685161108413,6214,6248,13050,2451
"76",76,305,"Turrialba",3,73659,44.8410210206554,21045,21044,44839,7776
"77",77,116,"Turrubares",0,6871,16.5450648944111,1963,1696,4557,618
"78",78,213,"Upala",4,54055,34.1975238348295,15444,19911,30188,3956
"79",79,212,"Sarchí",2,22166,184.33264033264,6333,6048,14223,1895
"80",80,111,"Coronado",3,71663,322.515751575158,20475,19729,45454,6480
"81",81,211,"Zarcero",2,14341,92.4450460903758,4097,4239,8923,1179
"82",0,0,"Desconocido",0,0,0,0,0,0,0
